approach,method,doc,csr,plan,proj,stat,extent,res,specdiv,specfield,ecodiv,geo,ecofield,human,ecoserv,laeco,carbon,change,restore,remote,compile,value
kpl,EIA,0.5,0,1,0,0,1,0,0.33,0,0.33,0,0,0,0,0,0,0.33,0,0.5,0.33,0.33
m1941,EIA,0.5,0,1,0.5,0,0.5,0.33,0.33,1,0.5,0.5,1,0.5,0.5,0.5,1,0.33,0.5,0.5,0.33,0.25
v712,EIA,0.5,0,1,0.5,0,0.7,0.33,0.33,1,0.5,0.5,1,0.5,0.5,0.5,1,0.33,0.5,0.5,0.33,0.25
NVE,EIA,0.5,0,1,0.5,0,1,0,0.33,1,0.5,0.5,1,0.5,0.5,0.5,0,0.33,0,0.5,0.33,0.25
left,EA,1,0,0.5,0.5,0.5,1,0.66,1,0,1,0,0,1,0,1,0,0,0,1,1,0.75
climb,EA,0.5,1,1,1,0.5,0.5,0.66,1,1,1,0,1,1,0,0.5,0,1,1,0.5,1,0.75
biodiv_m,EA,0.5,0.5,1,1,0.5,0.5,0.66,1,1,1,0,1,1,0,0.5,0,1,1,0.5,1,0.75
baykomp,EA,0.5,1,1,1,1,0.5,0.66,0.33,1,1,0.5,1,1,1,0.5,0,1,1,0.5,1,1
greenmeter,EA,0,0,0,0.5,0,0.5,0.33,1,0,1,0,0,1,0,1,0,0,0.5,1,1,0.75
breeam,EA,0.5,1,0.5,0.5,0,0.5,1,0.33,1,0.5,0,1,0.5,0.5,0.5,1,0.33,0.5,0.5,0.66,0.75
natroad,EA,0,0.5,1,1,0.5,0.5,0.66,0.33,0,0.5,0.5,0,0,0,0,0,1,0.5,0.33,1,0.5
afn,EA,0.5,1,0.5,1,1,0,0.33,1,1,1,1,1,1,0,1,1,0,1,1,1,0.75
bgf,EA,0.5,0.5,1,0.5,0.5,0,1,0,0,0,0,1,0.5,0.5,0,0,0,0,0.5,1,0.75
ibeca,EA,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0.75
paec,EA,0.5,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.66,0.25
hovden,EA,0.5,0.5,1,1,1,0.5,0.66,1,1,1,0,1,1,0,0.5,1,1,0.5,0.5,0,0
utmark,EA,1,0,0.5,0,1,1,0.33,1,1,1,0,1,0,0.5,0,0,0,0,0.5,0,0.25
